"ID","ReputationIndex","ReputationRaceMask_1","ReputationRaceMask_2","ReputationRaceMask_3","ReputationRaceMask_4","ReputationClassMask_1","ReputationClassMask_2","ReputationClassMask_3","ReputationClassMask_4","ReputationBase_1","ReputationBase_2","ReputationBase_3","ReputationBase_4","ReputationFlags_1","ReputationFlags_2","ReputationFlags_3","ReputationFlags_4","ParentFactionID","ParentFactionMod_1","ParentFactionMod_2","ParentFactionCap_1","ParentFactionCap_2","Name_Lang_enUS","Name_Lang_enGB","Name_Lang_koKR","Name_Lang_frFR","Name_Lang_deDE","Name_Lang_enCN","Name_Lang_zhCN","Name_Lang_enTW","Name_Lang_zhTW","Name_Lang_esES","Name_Lang_esMX","Name_Lang_ruRU","Name_Lang_ptPT","Name_Lang_ptBR","Name_Lang_itIT","Name_Lang_Unk","Name_Lang_Mask","Description_Lang_enUS","Description_Lang_enGB","Description_Lang_koKR","Description_Lang_frFR","Description_Lang_deDE","Description_Lang_enCN","Description_Lang_zhCN","Description_Lang_enTW","Description_Lang_zhTW","Description_Lang_esES","Description_Lang_esMX","Description_Lang_ruRU","Description_Lang_ptPT","Description_Lang_ptBR","Description_Lang_itIT","Description_Lang_Unk","Description_Lang_Mask"
"17","-1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","5","5","Gnoll - Redridge","놀 - 붉은마루일족","Gnoll - Carmines","Gnoll - Rotkammgebir","赤脊山豺狼人","","Gnoll: Crestagrana","Gnoll: Crestagrana","Гнолл: Племя Красногорья","","","","","","","","16712190","","","","","","","","","","","","","","","","","16712188"
"18","-1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","5","5","Gnoll - Shadowhide","놀 - 잿빛가죽일족","Gnoll - Sombrepoil","Gnoll - Schattenfell","暗皮豺狼人","","Gnoll: Pielsombra","Gnoll: Pielsombra","Гнолл: Темношкуры","","","","","","","","16712190","","","","","","","","","","","","","","","","","16712188"
"19","-1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","5","5","Murloc","멀록","Murloc","Murloc","鱼人","","Múrloc","Múrloc","Мурлок","","","","","","","","16712190","","","","","","","","","","","","","","","","","16712188"
"20","-1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","5","5","Undead, Scourge","언데드 - 스컬지","Mort-vivant, Fléau","Untoter, Geißel","亡灵(天灾军团)","","No-muertos, Plaga","No-muertos, Plaga","Нежить, Плеть","","","","","","","","16712190","","","","","","","","","","","","","","","","","16712188"
"21","1","1791","0","0","0","0","0","0","0","500","0","0","0","64","0","0","0","169","1","0.5","7","5","Booty Bay","무법항","Baie-du-Butin","Beutebucht","藏宝海湾","","Bahía del Botín","Bahía del Botín","Пиратская Бухта","","","","","","","","16712190","This booming coastal city is run by Baron Revilgaz of the Blackwater Raiders.  Mortal enemies of the Bloodsail Buccaneers and part of the Steamwheedle Cartel.","최근 급속한 성장을 이룬 무법항은 검은바다 해적단의 레빌가즈 남작이 다스리고 있는 해안 도시입니다. 스팀휘들 무역회사의 지부이며 붉은해적단과는 적대적 관계입니다.","Cette ville portuaire en pleine expansion est dirigée par le baron Revilgaz, des Écumeurs des Flots noirs. Ces derniers appartiennent au cartel Gentepression, et sont des ennemis mortels des boucaniers de la Voile sanglante.","In dieser blühenden Küstenstad","一个由黑水海盗的头目，大财主里维加兹经营的繁荣的海港城市。它","","Esta ciudad costera en auge está dirigida por el Barón Revilgaz, de los Asaltantes Aguasnegras. Son enemigos mortales de los Bucaneros Velasangre y forman parte del Cártel Bonvapor.","Esta ciudad costera en auge está dirigida por el Barón Revilgaz, de los Asaltantes Aguasnegras. Son enemigos mortales de los Bucaneros Velasangre y forman parte del Cártel Bonvapor.","В этом процветающем приморском городе правит барон Ревилгаз, разбойник Черноводья. Город входит в картель Хитрая Шестеренка и ведет войну с Кровавым парусом.","","","","","","","","16712190"
"22","-1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","5","5","Beast - Spider","야수 - 거미","Bête - Araignée","Wildtier - Spinne","蜘蛛","","Bestia: araña","Bestia: araña","Животное: паук","","","","","","","","16712190","","","","","","","","","","","","","","","","","16712188"
"23","-1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","5","5","Beast - Boar","야수 - 멧돼지","Bête - Sanglier","Wildtier - Eber","野猪","","Bestia: jabalí","Bestia: jabalí","Животное: кабан","","","","","","","","16712190","","","","","","","","","","","","","","","","","16712188"
"24","-1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","5","5","Worgen","늑대인간","Worgen","Worgen","狼人","","Huargen","Huargen","Ворген","","","","","","","","16712190","","","","","","","","","","","","","","","","","16712188"
"25","-1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","5","5","Kobold","코볼트","Kobold","Kobold","狗头人","","Kóbold","Kóbold","Кобольд","","","","","","","","16712190","","","","","","","","","","","","","","","","","16712188"
"26","-1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","5","5","Troll, Bloodscalp","트롤 - 붉은머리부족","Troll, Scalp-rouge","Troll, Blutskalpe","血顶巨魔","","Trol, Sangrapellejo","Trol, Sangrapellejo","Тролль: Кровавый Скальп","","","","","","","","16712190","","","","","","","","","","","","","","","","","16712188"
"27","-1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","5","5","Troll, Skullsplitter","트롤 - 백골가루부족","Troll, Casse-crâne","Troll, Schädelspalte","劈颅巨魔","","Trol, Machacacráneos","Trol, Machacacráneos","Тролль: Дробители Черепов","","","","","","","","16712190","","","","","","","","","","","","","","","","","16712188"
"28","-1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","5","5","Prey","희생물","Proie","Beute","猎物","","Presa","Presa","Добыча","","","","","","","","16712190","","","","","","","","","","","","","","","","","16712188"
"29","-1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","5","5","Beast - Wolf","야수 - 늑대","Bête - Loup","Wildtier - Wolf","狼人","","Bestia: lobo","Bestia: lobo","Животное: волк","","","","","","","","16712190","","","","","","","","","","","","","","","","","16712188"
"30","-1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","5","5","Defias Brotherhood Traitor","데피아즈 결사단 배반자","Traître de la Confrérie défias","Verräter der Bruders","叛变的迪菲亚盗贼(艾泽拉斯)","","Traidor de la Hermandad Defias","Traidor de la Hermandad Defias","Предатель Братства Справедливости","","","","","","","","16712190","","","","","","","","","","","","","","","","","16712188"
"31","-1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","5","5","Friendly","아군","Bienveillant","Befreundet","友方","","Amistoso","Amistoso","Дружественный","","","","","","","","16712190","","","","","","","","","","","","","","","","","16712188"
"32","-1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","5","5","Trogg","트로그","Trogg","Trogg","穴居人","","Trogg","Trogg","Трогг","","","","","","","","16712190","","","","","","","","","","","","","","","","","16712188"
"33","-1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","5","5","Troll, Frostmane","트롤 - 서리갈기부족","Troll, Crins-de-givre","Troll, Frostmähnen","冰巨魔","","Trol, Peloescarcha","Trol, Peloescarcha","Тролль: Мерзлогривы","","","","","","","","16712190","","","","","","","","","","","","","","","","","16712188"
"34","-1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","5","5","Orc, Blackrock","오크 - 검은바위부족","Orc, Rochenoire","Orc, Schwarzfels","黑石氏族兽人","","Orco, Roca Negra","Orco, Roca Negra","Орк: Черная гора","","","","","","","","16712190","","","","","","","","","","","","","","","","","16712188"
"35","-1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","5","5","Villian","민간인","Méchant","Bösewicht","Villian","","Villian","Villian","Злодей","","","","","","","","16712190","","","","","","","","","","","","","","","","","16712188"
"36","-1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","5","5","Victim","희생자","Victime","Opfer","牺牲品","","Víctima","Víctima","Жертва","","","","","","","","16712190","","","","","","","","","","","","","","","","","16712188"
"37","-1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","5","5","Beast - Bear","야수 - 곰","Bête - Ours","Wildtier - Bär","熊","","Bestia: oso","Bestia: oso","Животное: медведь","","","","","","","","16712190","","","","","","","","","","","","","","","","","16712188"
"38","-1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","5","5","Ogre","오우거","Ogre","Oger","食人魔","","Ogro","Ogro","Огр","","","","","","","","16712190","","","","","","","","","","","","","","","","","16712188"
"39","-1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","5","5","Kurzen's Mercenaries","쿠르젠의 용병단","Mercenaires de Kurzen","Kurzens Söldner","库森的雇佣兵","","Mercenarios de Kurzen","Mercenarios de Kurzen","Наемники Курцена","","","","","","","","16712190","","","","","","","","","","","","","","","","","16712188"
"40","-1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","5","5","Escortee","호위 대상","Escorteur","Eskortierter","卫队","","Acompañante","Acompañante","Сопровождаемый","","","","","","","","16712190","","","","","","","","","","","","","","","","","16712188"
"41","-1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","5","5","Venture Company","투자개발회사","La KapitalRisk","Venture Company","荆棘谷地精","","Ventura y Cía.","Ventura y Cía.","Торговая Компания","","","","","","","","16712190","","","","","","","","","","","","","","","","","16712188"
"42","-1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","5","5","Beast - Raptor","야수 - 랩터","Bête - Raptor","Wildtier - Raptor","迅猛龙","","Bestia: raptor","Bestia: raptor","Животное: ящер","","","","","","","","16712190","","","","","","","","","","","","","","","","","16712188"
"43","-1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","5","5","Basilisk","바실리스크","Basilic","Basilisk","石化蜥蜴","","Basilisco","Basilisco","Василиск","","","","","","","","16712190","","","","","","","","","","","","","","","","","16712188"
"44","-1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","5","5","Dragonflight, Green","용군단 - 녹색용군단","Vol vert","Drachenschwarm, Grün","绿龙","","Vuelo, Verde","Vuelo, Verde","Зеленые драконы","","","","","","","","16712190","","","","","","","","","","","","","","","","","16712188"
"45","-1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","5","5","Lost Ones","잃어버린 드레나이","Perdus","Verirrte","失落者","","Los Perdidos","Los Perdidos","Заблудшие","","","","","","","","16712190","","","","","","","","","","","","","","","","","16712188"
"46","29","1791","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","1","1","5","5"," Blacksmithing - Armorsmithing","대장기술 - 방어구 제작"," Forge - Fabricant d'armure"," Schmiedekunst - Rüs","斯通纳德兽人",""," Herrería: armaduras"," Herrería: armaduras","Кузнечное дело: ковка доспехов","","","","","","","","16712190","","","","","","","","","","","","","","","","","16712188"
"47","20","3145","946","4","0","0","0","0","0","3100","-42000","4000","0","273","6","17","0","469","1","0.25","7","5","Ironforge","아이언포지","Forgefer","Eisenschmiede","铁炉堡","","Forjaz","Forjaz","Стальгорн","","","","","","","","16712190","This Alliance capital is the pride of the Dun Morogh dwarves.  Home to King Magni.","자랑스러운 던 모로 드워프들의 수도인 아이언포지는 마그니 국왕이 통치하고 있습니다.","Résidence du roi Magni, cette capitale de l’Alliance fait la fierté des nains de Dun Morogh.","Die Hauptstadt der Allianz ist","这座联盟的大都市是丹莫罗矮人们的骄傲，也是麦格尼国王的家。","","Esta capital de la Alianza es el orgullo de los enanos de Dun Morogh y hogar del Rey Magni.","Esta capital de la Alianza es el orgullo de los enanos de Dun Morogh y hogar del Rey Magni.","Одна из столиц Альянса, населенная дворфами Дун Морога. Вотчина короля Магни.","","","","","","","","16712190"
"48","-1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","5","5","Dark Iron Dwarves","검은무쇠 드워프","Nains Sombrefer","Dunkeleisenzwerge","黑铁矮人","","Enanos Hierro Negro","Enanos Hierro Negro","Дворфы Черного Железа","","","","","","","","16712190","","","","","","","","","","","","","","","","","16712188"
"49","-1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","5","5","Human, Night Watch","인간 - 어둠의 순찰대","Humain, Veilleur","Mensch, Nachtwache","暮色森林守夜人","","Humano, Guardia Nocturna","Humano, Guardia Nocturna","Человек: Ночной Дозор","","","","","","","","16712190","","","","","","","","","","","","","","","","","16712188"
"50","-1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","5","5","Dragonflight, Red","용군단 - 붉은용군단","Vol rouge","Drachenschwarm, Rot","红龙","","Vuelo, Rojo","Vuelo, Rojo","Красные драконы","","","","","","","","16712190","","","","","","","","","","","","","","","","","16712188"
"51","-1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","5","5","Gnoll - Mosshide","놀 - 이끼가죽일족","Gnoll - Poil-moussu","Gnoll - Moosfelle","藓皮豺狼人","","Gnoll: Pellejomusgo","Gnoll: Pellejomusgo","Гнолл: Мохошкур","","","","","","","","16712190","","","","","","","","","","","","","","","","","16712188"
"52","-1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","5","5","Orc, Dragonmaw","오크 - 용아귀부족","Orc, Gueule-de-dragon","Orc, Drachenmalklan","龙喉氏族兽人","","Orco, Faucedraco","Orco, Faucedraco","Орк: Драконья Пасть","","","","","","","","16712190","","","","","","","","","","","","","","","","","16712188"
"53","-1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","5","5","Gnome - Leper","노움 - 오염된 노움","Gnome - Lépreux","Gnom - Lepra","疯狂侏儒","","Gnomo: paria","Gnomo: paria","Гном: зараженный","","","","","","","","16712190","","","","","","","","","","","","","","","","","16712188"
"54","18","3085","946","64","0","0","0","0","0","3100","-42000","4000","0","273","6","17","0","469","1","0.25","7","5","Gnomeregan Exiles","놈리건","Exilés de Gnomeregan","Gnomeregangnome","诺莫瑞根流亡者","","Exiliados de Gnomeregan","Exiliados de Gnomeregan","Изгнанники Гномрегана","","","","","","","","16712190","The former denizens of Gnomeregan, now living in exile in Ironforge and in league with the Alliance.","원래 자랑스러운 놈리건의 시민이었던 노움들은 얼라이언스와 동맹을 맺고 아이언포지에서 망명 생활을 하고 있습니다.","Les anciens habitants de Gnomeregan vivent en exil à Forgefer et se sont associés à l’Alliance.","Die einstigen Bewohner von Gno","诺莫瑞根以前的居民，现在流亡到了铁炉堡并居住在此，联盟方的重","","Los antiguos habitantes de Gnomeregan viven ahora su exilio en Forjaz, asociados con la Alianza.","Los antiguos habitantes de Gnomeregan viven ahora su exilio en Forjaz, asociados con la Alianza.","Эти бывшие жители Гномрегана нашли приют в Стальгорне и теперь входят в состав Альянса.","","","","","","","","16712190"
"55","-1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","5","5","Leopard","표범","Léopard","Leopard","豹","","Leopardo","Leopardo","Леопард","","","","","","","","16712190","","","","","","","","","","","","","","","","","16712188"
"56","-1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","5","5","Scarlet Crusade","붉은십자군","Croisade écarlate","Scharlachroter Kreuz","血色十字军","","Cruzada Escarlata","Cruzada Escarlata","Алый орден","","","","","","","","16712190","","","","","","","","","","","","","","","","","16712188"
"57","-1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","5","5","Gnoll - Rothide","놀 - 썩은가죽일족","Gnoll - Poils-putrides","Gnoll - Moderfelle","烂皮豺狼人","","Gnoll: Putrepellejo","Gnoll: Putrepellejo","Гнолл: Гнилошкуры","","","","","","","","16712190","","","","","","","","","","","","","","","","","16712188"
"58","-1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","5","5","Beast - Gorilla","야수 - 고릴라","Bête - Gorille","Wildtier - Gorilla","猩猩","","Bestia: gorila","Bestia: gorila","Животное: горилла","","","","","","","","16712190","","","","","","","","","","","","","","","","","16712188"
"59","4","1791","0","0","0","0","0","0","0","0","0","0","0","16","0","0","0","1118","0","0","5","5","Thorium Brotherhood","토륨 대장조합","Confrérie du thorium","Thoriumbruderschaft","瑟银兄弟会","","Hermandad del Torio","Hermandad del Torio","Братство Тория","","","","","","","","16712190","The dwarves of the Thorium Brotherhood epitomize excellence in craftsmanship and are bent on unlocking the secrets of Blackrock Mountain.","토륨 대장조합의 드워프들은 각종 세공술로 잘 알려져 있으며 검은바위 산의 비밀을 밝혀내고자 노력하고 있습니다.","Les nains de la Confrérie du thorium personnifient l’excellence dans l’artisanat, et sont résolus à percer les secrets du mont Rochenoire.","Die Zwerge der Thoriumbrudersc","瑟银兄弟会的矮人有着无与伦比的制造技术，并致力于解开黑石山中","","Los enanos de la Hermandad del Torio son la personificación de la excelencia en la artesanía y están decididos a desvelar los secretos de la Montaña Roca Negra.","Los enanos de la Hermandad del Torio son la personificación de la excelencia en la artesanía y están decididos a desvelar los secretos de la Montaña Roca Negra.","Дворфы из Братства Тория – прославленные мастера и лучшие знатоки тайн Черной горы.","","","","","","","","16712190"
"60","-1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","5","5","Naga","나가","Naga","Naga","纳迦","","Naga","Naga","Нага","","","","","","","","16712190","","","","","","","","","","","","","","","","","16712188"
"61","-1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","5","5","Dalaran","달라란","Dalaran","Dalaran","达拉然","","Dalaran","Dalaran","Даларан","","","","","","","","16712190","","","","","","","","","","","","","","","","","16712188"
"62","-1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","5","5","Forlorn Spirit","외로운 영혼","Esprit mélancolique","Unglückseliger Geist","弃灵","","Espíritu Abandonado","Espíritu Abandonado","Неприкаянный дух","","","","","","","","16712190","","","","","","","","","","","","","","","","","16712188"
"63","-1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","5","5","Darkhowl","다크하울","Rugissombre","Darkhowl","Darkhowl","","Aullido Oscuro","Aullido Oscuro","Мрачный Вой","","","","","","","","16712190","","","","","","","","","","","","","","","","","16712188"
"64","-1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","5","5","Grell","그렐","Grell","Grell","劣魔","","Grell","Grell","Грелль","","","","","","","","16712190","","","","","","","","","","","","","","","","","16712188"
"65","-1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","5","5","Furbolg","펄볼그","Furbolg","Furbolg","熊怪","","Fúrbolg","Fúrbolg","Фурболг","","","","","","","","16712190","","","","","","","","","","","","","","","","","16712188"
"66","-1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","5","5","Horde Generic","호드","Horde Générique","Horde, Standard","部落友军","","Genérico de la Horda","Genérico de la Horda","Орда: стандартный","","","","","","","","16712190","","","","","","","","","","","","","","","","","16712188"
"67","12","946","3149","0","0","0","0","0","0","3500","-42000","0","0","25","14","0","0","1118","0","0","5","5","Horde","호드 연합","Horde","Horde","部落","","Horda","Horda","Орда","","","","","","","","16712190","","","","","","","","","","","","","","","","","16712188"
"68","17","418","3149","16","512","0","0","0","0","500","-42000","4000","3100","273","6","17","17","67","1","0.25","7","5","Undercity","언더시티","Fossoyeuse","Unterstadt","幽暗城","","Entrañas","Entrañas","Подгород","","","","","","","","16712190","Led by Sylvanas Windrunner, the Forsaken have joined a tenuous alliance with the Horde and established this capital in the vast depths under the Ruins of Lordaeron.","실바나스 윈드러너가 이끄는 포세이큰은 호드와 미약한 동맹 관계를 유지하고 있으며 로데론의 폐허 지하 깊숙한 곳에 도시를 건설하였습니다.","Dirigés par Sylvanas Coursevent, les Réprouvés ont établi une alliance ténue avec la Horde et se sont installés dans les vastes catacombes qui s’étendent sous les ruines de Lordaeron.","Angeführt von Sylvanas Windläu","希尔瓦娜斯·风行者领导下的被遗忘者与部落之间建立起了微弱的同","","Liderados por Sylvanas Brisaveloz, los Renegados han forjado una delicada alianza con la Horda y han asentado su capital en las vastas profundidades bajo las Ruinas de Lordaeron.","Liderados por Sylvanas Brisaveloz, los Renegados han forjado una delicada alianza con la Horda y han asentado su capital en las vastas profundidades bajo las Ruinas de Lordaeron.","Подземелья под руинами Лордерона населены Отрекшимися, заключившими хрупкий союз с Ордой. Ими правит леди Сильвана.","","","","","","","","16712190"
"69","21","3141","946","8","0","0","0","0","0","3100","-42000","4000","0","273","6","17","0","469","1","0.25","7","5","Darnassus","다르나서스","Darnassus","Darnassus","达纳苏斯","","Darnassus","Darnassus","Дарнас","","","","","","","","16712190","This Alliance capital is populated by Night Elves and is located in the Island of Teldrassil.  Ruled by the Priestess of the Moon, Tyrande Whisperwind.","나이트 엘프의 수도인 다르나서스는 텔드랏실 섬에 위치해 있습니다. 달의 여사제 티란데 위스퍼윈드가 이끌고 있습니다.","Située sur l’île de Teldrassil, cette capitale de l’Alliance est la demeure des elfes de la nuit. Elle est dirigée par la prêtresse de la Lune, Tyrande Murmevent.","Diese Hauptstadt der Allianz w","坐落在泰达希尔岛上的联盟城市，暗夜精灵的首都，由月女祭司泰兰","","Esta capital de la Alianza está habitada por los elfos de la noche y se encuentra en la isla de Teldrassil. Está gobernada por la Sacerdotisa de la Luna, Tyrande Susurravientos.","Esta capital de la Alianza está habitada por los elfos de la noche y se encuentra en la isla de Teldrassil. Está gobernada por la Sacerdotisa de la Luna, Tyrande Susurravientos.","Одна из столиц Альянса, расположенная на острове Тельдрассил и населенная ночными эльфами. Здесь правит жрица луны по имени Тиранда Шелест Ветра.","","","","","","","","16712190"
